name,score,user score,critics,users,platform,rating
Super Mario Odyssey,97,89.0,113,5546,Switch,89.18
The Legend of Zelda: Breath of the Wild,97,86.0,109,15873,Switch,88.98
Red Dead Redemption 2,97,84.0,99,14315,PlayStation4,88.43
Grand Theft Auto IV,98,79.0,86,3364,Xbox360,88.24
Uncharted 2: Among Thieves,96,88.0,105,6716,PlayStation3,88.08
Mass Effect 2,96,89.0,98,3503,Xbox360,87.7
Super Mario Galaxy 2,97,91.0,87,2521,Wii,87.67
God of War,94,92.0,118,16298,PlayStation4,87.27
The Elder Scrolls V: Skyrim,96,86.0,89,3954,Xbox360,87.15
BioShock,96,89.0,88,2572,Xbox360,87.08
The Last of Us,95,92.0,98,11982,PlayStation3,87.02
Red Dead Redemption,95,90.0,96,2847,Xbox360,86.91
The Last of Us Part II,93,57.0,121,146262,PlayStation4,86.67
Resident Evil 4,96,92.0,82,1596,GameCube,86.67
Halo 2,95,84.0,91,1656,Xbox,86.62
Half-Life 2,96,91.0,81,10773,PC,86.6
Super Mario Galaxy,97,90.0,73,3059,Wii,86.58
The Legend of Zelda: The Wind Waker,96,90.0,80,1370,GameCube,86.52
Call of Duty: Modern Warfare 2,94,65.0,100,2957,Xbox360,86.45
Uncharted 4: A Thief's End,93,85.0,113,12333,PlayStation4,86.36
Metroid Prime,97,92.0,70,1113,GameCube,86.31
Grand Theft Auto IV,98,76.0,64,3806,PlayStation3,86.31
LittleBigPlanet,95,68.0,85,5533,PlayStation3,86.24
Halo: Combat Evolved,97,85.0,68,2052,Xbox,86.12
Grand Theft Auto V,97,84.0,66,5899,PlayStation4,85.93
The Elder Scrolls IV: Oblivion,94,87.0,90,1257,Xbox360,85.9
Grand Theft Auto: San Andreas,95,91.0,80,2444,PlayStation2,85.89
Gears of War,94,83.0,88,2653,Xbox360,85.78
Super Smash Bros. Ultimate,93,86.0,99,2819,Switch,85.72
Batman: Arkham City,94,87.0,87,1682,Xbox360,85.72
Persona 5,93,87.0,98,4717,PlayStation4,85.67
Halo 3,94,80.0,86,4729,Xbox360,85.66
The Legend of Zelda: Ocarina of Time 3D,94,90.0,85,1625,3DS,85.59
Metal Gear Solid 4: Guns of the Patriots,94,88.0,82,4088,PlayStation3,85.4
The Legend of Zelda: Twilight Princess,95,89.0,73,2060,Wii,85.36
