name,score,user score,critics,users,platform,rating
The Witcher 3: Wild Hunt,93,94.0,32,17537,PC,92.94
Ghost of Tsushima,83,92.0,122,17420,PlayStation4,91.01
God of War,94,92.0,118,16298,PlayStation4,90.94
The Witcher 3: Wild Hunt,92,92.0,79,15749,PlayStation4,90.91
The Last of Us Remastered,95,92.0,70,14563,PlayStation4,90.82
GrimGrimoire,79,98.0,39,2314,PlayStation2,90.65
The Last of Us,95,92.0,98,11982,PlayStation3,90.58
Diaries of a Spaceport Janitor,69,97.0,7,2495,PC,90.28
Counter-Strike,88,92.0,11,7112,PC,89.7
Half-Life 2,96,91.0,81,10773,PC,89.49
Portal,90,92.0,27,5187,PC,88.94
Portal 2,95,91.0,52,7482,PC,88.88
The Witcher 3: Wild Hunt,91,92.0,13,4799,XboxOne,88.72
Team Fortress 2,92,91.0,17,6724,PC,88.67
The Legend of Zelda: Ocarina of Time,99,91.0,22,5749,Nintendo64,88.31
The Witcher 3: Wild Hunt - Blood and Wine,92,93.0,50,3088,PC,88.05
Bloodborne,92,89.0,100,10394,PlayStation4,87.56
Counter-Strike: Source,88,89.0,9,10108,PC,87.52
Left 4 Dead,89,91.0,58,4071,PC,87.36
Crystar,67,96.0,13,1645,PlayStation4,87.09
Half-Life,96,90.0,24,4321,PC,86.67
Super Mario Odyssey,97,89.0,113,5546,Switch,86.44
Mass Effect 2,94,89.0,55,4972,PC,86.17
Uncharted 2: Among Thieves,96,88.0,105,6716,PlayStation3,85.93
The Witcher 3: Wild Hunt - Hearts of Stone,89,91.0,37,2622,PC,85.75
Super Mario Galaxy 2,97,91.0,87,2521,Wii,85.58
Super Mario Galaxy,97,90.0,73,3059,Wii,85.54
Grand Theft Auto: San Andreas,95,91.0,80,2444,PlayStation2,85.45
NieR: Automata,88,89.0,101,3751,PlayStation4,85.39
Warcraft III: Reign of Chaos,92,92.0,40,2041,PC,85.37
Red Dead Redemption,95,90.0,96,2847,Xbox360,85.27
Half-Life 2: Episode Two,90,91.0,21,2349,PC,85.27
Resident Evil 2,91,89.0,85,3507,PlayStation4,85.18
Mass Effect 2,96,89.0,98,3503,Xbox360,85.18
The Legend of Zelda: Breath of the Wild,97,86.0,109,15873,Switch,85.16
Superliminal,80,96.0,8,1226,XboxOne,85.11
Red Dead Redemption,95,89.0,73,3371,PlayStation3,85.05
Fallout: New Vegas,84,88.0,39,4330,PC,84.94
Astral Chain,87,89.0,92,3243,Switch,84.92
Marvel's Spider-Man,87,87.0,116,6051,PlayStation4,84.82
Final Fantasy VII,92,91.0,20,2118,PlayStation,84.79
Metal Gear Solid 4: Guns of the Patriots,94,88.0,82,4088,PlayStation3,84.79
Half-Life: Alyx,93,91.0,68,2104,PC,84.76
Grand Theft Auto: San Andreas,93,89.0,47,3074,PC,84.74
The Orange Box,96,92.0,34,1804,PC,84.74
BioShock Infinite,94,86.0,68,8729,PC,84.52
