year,#_of_games,avg_score,avg_user_score
1995,1,86.0,86.0
1996,20,85.45,83.55
1997,27,85.18518518518519,84.5925925925926
1998,45,82.46666666666667,80.22222222222223
1999,52,83.42307692307692,83.13461538461539
2000,355,72.0112676056338,65.45070422535211
2001,546,71.38278388278388,67.11355311355311
2002,786,69.72010178117048,62.1234096692112
2003,811,70.33908754623921,68.02219482120839
2004,724,69.77624309392266,68.72513812154696
2005,859,70.0081490104773,68.36554132712456
2006,892,67.21076233183857,65.46076233183857
2007,936,66.67094017094017,64.2457264957265
2008,944,67.32944915254237,63.24258474576271
2009,970,68.74845360824742,63.077319587628864
2010,847,69.95749704840614,66.59740259740259
2011,861,69.3890824622532,64.95121951219512
2012,795,70.22012578616352,67.04150943396226
2013,766,70.33159268929504,67.2467362924282
2014,781,70.98719590268887,67.46862996158771
2015,864,71.58333333333333,66.57523148148148
2016,982,71.38391038696538,64.38798370672097
2017,1059,72.31539187913125,63.254013220018884
2018,1147,72.09415867480384,63.03312990409765
2019,1010,72.77524752475247,61.94653465346535
2020,864,72.18981481481481,55.539351851851855
