genre,Nintendo64,PlayStation,PlayStation3,Dreamcast,Xbox360,Wii,XboxOne,Switch,PlayStation2,PlayStation4,GameCube,Xbox,PC,WiiU,GameBoyAdvance,3DS,DS,PlayStationVita,PSP,XboxSeriesX,PlayStation5,Stadia
wakeboarding,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
point-and-click,0,0,15,0,22,7,29,16,0,48,0,0,199,0,0,0,5,1,0,0,0,0
skateboarding,1,4,6,1,8,4,0,0,12,1,9,8,6,0,5,0,5,2,2,0,0,0
management,0,0,3,0,6,5,12,16,2,12,0,1,149,0,0,6,13,2,4,0,0,0
wwi,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
street,0,1,6,0,10,1,1,0,10,2,1,4,5,0,3,0,0,0,1,0,0,0
cricket,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
individual,0,0,64,0,83,61,30,18,0,46,0,0,52,3,0,7,25,8,28,0,0,0
traditional,5,20,120,13,134,58,14,0,202,16,77,128,105,3,23,15,22,9,64,0,0,0
general,7,22,355,17,478,243,319,273,60,560,14,9,1820,59,39,148,293,94,149,0,1,1
artillery,0,0,2,0,4,2,2,1,0,2,0,0,8,0,0,0,2,0,3,0,0,0
sandbox,0,0,2,0,2,1,5,9,0,12,0,0,14,3,0,1,3,2,0,0,0,0
interactivemovie,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
party/minigame,0,0,7,0,10,28,5,16,0,16,0,0,5,8,0,6,16,2,4,0,0,0
snowboarding,0,2,2,0,6,3,0,0,10,0,6,8,1,0,4,0,1,0,1,0,0,0
trainer,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,16,14,0,0,0,0,0
truck,0,0,0,0,1,0,0,0,3,0,1,1,1,0,2,0,0,0,0,0,0,0
western-style,0,0,16,0,27,1,16,7,0,27,0,0,121,0,0,8,7,5,2,0,0,0
roguelike,0,0,2,0,0,3,0,8,0,2,0,0,9,0,0,3,7,5,0,0,0,0
tycoon,0,0,1,1,3,1,1,0,3,1,0,3,53,0,0,1,7,0,0,0,0,0
compilation,0,1,47,2,37,22,27,56,28,51,7,16,51,2,10,8,10,9,19,0,0,0
fighting,3,12,83,11,89,25,28,30,78,57,29,39,32,3,24,10,14,10,33,0,0,0
gt/street,1,3,19,5,27,6,6,0,33,3,7,26,32,1,4,1,8,1,12,0,0,0
open-world,0,0,49,0,69,7,70,37,0,101,0,0,126,10,0,7,7,6,7,1,1,0
skating,0,0,1,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
stockcar,0,2,4,0,4,0,0,0,10,0,2,7,10,0,0,0,0,0,1,0,0,0
matching,2,1,6,1,15,5,5,10,3,2,1,1,9,0,7,3,18,1,4,0,0,0
skiing,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ski/snowboard,0,0,2,0,7,5,1,1,0,3,0,0,2,0,0,0,1,0,1,0,0,0
biking,0,4,1,2,3,0,0,4,6,3,3,4,8,0,3,0,0,0,0,0,0,0
civilian,0,0,1,0,1,0,5,3,0,5,0,0,35,1,0,1,0,0,0,0,0,0
flight,0,1,16,2,17,6,4,6,15,7,1,6,61,2,2,3,5,0,5,0,0,0
business/tycoon,0,0,1,0,1,4,6,11,0,8,0,0,68,0,0,6,11,1,2,0,0,0
arcade,5,5,211,7,314,71,164,85,56,225,33,45,566,12,13,27,52,19,59,0,0,0
wargame,0,0,2,0,6,0,1,0,2,1,0,0,19,0,0,0,2,0,1,0,0,0
tactical,0,0,22,1,33,2,37,5,22,48,8,24,141,0,1,2,1,0,9,0,0,0
edutainment,0,0,0,0,3,4,0,1,0,0,0,1,1,1,0,4,16,0,0,0,0,0
on-foot,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0
pinball,0,1,4,0,9,2,1,6,1,15,1,2,4,1,4,3,2,0,2,0,0,0
train,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
fantasy,5,5,104,6,102,46,20,0,108,32,45,60,368,16,27,19,52,22,34,0,0,0
top-down,0,0,19,0,22,3,22,29,0,30,0,0,39,3,0,5,3,8,3,0,0,0
rally/offroad,1,2,19,2,17,3,0,0,17,0,2,13,21,0,6,0,2,1,8,0,0,0
moba,0,0,2,0,2,0,6,2,0,4,0,0,16,0,0,0,0,0,0,0,0,0
billiards,0,0,3,1,3,2,2,1,3,2,1,1,1,0,0,0,1,1,2,0,0,0
mech,0,0,5,0,6,0,0,0,16,0,0,6,3,0,0,0,1,0,1,0,0,0
4x,0,0,0,0,0,0,1,3,0,3,0,0,51,0,0,0,0,0,0,0,0,0
virtuallife,0,0,6,0,7,11,4,4,7,5,6,4,58,1,3,8,23,1,4,0,0,0
helicopter,0,0,2,0,1,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0
lightgun,0,3,7,2,0,14,0,1,7,19,0,0,8,0,0,0,1,0,0,0,0,0
dancing,0,3,4,0,12,10,5,5,16,6,2,4,0,3,0,0,1,1,1,0,0,0
bowling,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
role-playing,2,27,111,5,114,25,96,144,122,254,21,24,570,9,53,78,119,52,70,1,0,0
wwii,0,0,6,1,7,3,0,0,3,0,0,4,20,0,0,0,0,0,1,0,0,0
fishing,0,1,1,2,1,5,0,0,5,2,0,3,0,0,1,0,1,1,0,0,0,0
formulaone,0,1,7,0,6,2,0,0,10,0,2,3,16,1,2,1,1,1,1,0,0,0
civilianplane,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
football,2,5,24,5,30,6,10,1,38,8,18,27,15,1,4,2,5,0,8,0,0,0
modern,3,8,124,3,145,25,25,0,112,29,36,86,364,6,18,4,30,10,33,0,0,0
tennis,1,0,8,2,10,9,4,2,8,4,1,3,5,1,4,1,4,1,4,0,0,0
team,0,0,96,0,112,32,52,17,0,71,0,0,110,3,0,7,14,4,48,0,0,0
cardbattle,0,0,4,0,5,0,2,6,4,3,1,1,27,0,7,1,9,3,8,0,0,0
motocross,1,4,4,1,6,2,0,0,7,1,4,8,5,0,3,0,0,0,1,0,0,0
oldjet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
command,0,0,0,0,3,0,0,1,0,2,0,0,59,0,0,0,1,0,0,0,0,0
soccer,0,2,21,0,27,14,16,9,28,21,15,16,58,1,1,12,6,3,19,0,0,0
marine,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0
exercise/fitness,0,0,3,0,7,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
futuristicjet,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0
videos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
career,0,0,2,0,1,6,8,12,0,12,0,0,22,0,0,6,9,1,0,0,0,0
trivia/gameshow,0,1,5,0,9,3,0,0,7,2,0,2,2,0,0,0,2,0,2,0,0,0
sci-fi,12,8,110,7,181,24,20,0,112,30,33,87,464,4,21,4,34,7,25,0,0,0
stacking,0,0,2,0,2,3,3,5,1,4,1,2,1,1,1,3,3,0,1,0,0,0
simulation,3,3,85,5,103,40,78,39,41,104,3,16,359,5,2,24,55,6,39,0,0,0
snow/water,1,1,0,1,1,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0,0,0
skate/skateboard,0,0,8,0,10,4,4,0,0,4,0,0,8,0,0,0,5,2,2,0,0,0
breeding/constructing,1,0,0,1,2,5,0,0,4,0,2,0,9,0,3,5,8,0,1,0,0,0
boxing/martialarts,0,0,6,0,7,6,3,2,0,5,0,0,1,0,0,0,0,1,2,0,0,0
boardgames,0,0,3,0,23,7,0,0,2,0,0,1,5,1,2,1,3,0,1,0,0,0
